id,text
4822,this is a simple description
14457,this is a simple description
9613,this is a simple description
8463,this is a simple description
14160,this is a simple description
2530,this is a simple description
4945,this is a simple description
1969,this is a simple description
5799,this is a simple description
749,this is a simple description
6658,this is a simple description
4124,this is a simple description
4965,this is a simple description
12805,this is a simple description
1168,this is a simple description
2246,this is a simple description
12506,this is a simple description
3424,this is a simple description
787,this is a simple description
10665,this is a simple description
6518,this is a simple description
8399,this is a simple description
11997,this is a simple description
3245,this is a simple description
11978,this is a simple description
21,this is a simple description
1783,this is a simple description
4488,this is a simple description
7543,this is a simple description
1486,this is a simple description
12657,this is a simple description
5213,this is a simple description
14477,this is a simple description
8382,this is a simple description
6652,this is a simple description
8664,this is a simple description
10962,this is a simple description
7742,this is a simple description
10940,this is a simple description
8292,this is a simple description
8131,this is a simple description
8320,this is a simple description
12498,this is a simple description
10915,this is a simple description
4388,this is a simple description
11441,this is a simple description
6701,this is a simple description
5188,this is a simple description
3784,this is a simple description
5064,this is a simple description
7561,this is a simple description
818,this is a simple description
12883,this is a simple description
2139,this is a simple description
11673,this is a simple description
7767,this is a simple description
3566,this is a simple description
1632,this is a simple description
9958,this is a simple description
11684,this is a simple description
3005,this is a simple description
12309,this is a simple description
2606,this is a simple description
742,this is a simple description
7862,this is a simple description
10720,this is a simple description
7450,this is a simple description
7995,this is a simple description
11988,this is a simple description
7779,this is a simple description
3450,this is a simple description
12529,this is a simple description
11028,this is a simple description
13812,this is a simple description
12361,this is a simple description
13207,this is a simple description
4040,this is a simple description
6521,this is a simple description
4394,this is a simple description
1567,this is a simple description
10819,this is a simple description
1448,this is a simple description
9867,this is a simple description
2104,this is a simple description
14351,this is a simple description
1888,this is a simple description
9377,this is a simple description
3111,this is a simple description
5278,this is a simple description
2627,this is a simple description
10792,this is a simple description
5197,this is a simple description
11213,this is a simple description
1059,this is a simple description
12143,this is a simple description
4311,this is a simple description
9161,this is a simple description
11363,this is a simple description
9539,this is a simple description
1120,this is a simple description
8006,this is a simple description
2795,this is a simple description
7597,this is a simple description
12622,this is a simple description
3575,this is a simple description
73,this is a simple description
12388,this is a simple description
7325,this is a simple description
6523,this is a simple description
5485,this is a simple description
12356,this is a simple description
11385,this is a simple description
12484,this is a simple description
1262,this is a simple description
2302,this is a simple description
9521,this is a simple description
2240,this is a simple description
10552,this is a simple description
2951,this is a simple description
9184,this is a simple description
3350,this is a simple description
8887,this is a simple description
8052,this is a simple description
4170,this is a simple description
5277,this is a simple description
9689,this is a simple description
9199,this is a simple description
12584,this is a simple description
6236,this is a simple description
6733,this is a simple description
7715,this is a simple description
7999,this is a simple description
6944,this is a simple description
13549,this is a simple description
12673,this is a simple description
8967,this is a simple description
9405,this is a simple description
8207,this is a simple description
5274,this is a simple description
13632,this is a simple description
7513,this is a simple description
10254,this is a simple description
3779,this is a simple description
9968,this is a simple description
2323,this is a simple description
5106,this is a simple description
9031,this is a simple description
11595,this is a simple description
9910,this is a simple description
5555,this is a simple description
7286,this is a simple description
7661,this is a simple description
2473,this is a simple description
7628,this is a simple description
6828,this is a simple description
3696,this is a simple description
11075,this is a simple description
6627,this is a simple description
7889,this is a simple description
421,this is a simple description
5935,this is a simple description
10248,this is a simple description
7301,this is a simple description
4366,this is a simple description
13735,this is a simple description
8317,this is a simple description
5854,this is a simple description
12280,this is a simple description
389,this is a simple description
3583,this is a simple description
8597,this is a simple description
3095,this is a simple description
13514,this is a simple description
1589,this is a simple description
12625,this is a simple description
26,this is a simple description
12985,this is a simple description
8177,this is a simple description
6774,this is a simple description
8060,this is a simple description
14077,this is a simple description
8157,this is a simple description
14295,this is a simple description
76,this is a simple description
6199,this is a simple description
8343,this is a simple description
13849,this is a simple description
6442,this is a simple description
2609,this is a simple description
11632,this is a simple description
11645,this is a simple description
11343,this is a simple description
12167,this is a simple description
10546,this is a simple description
5375,this is a simple description
4720,this is a simple description
12215,this is a simple description
14311,this is a simple description
14512,this is a simple description
11717,this is a simple description
12558,this is a simple description
1211,this is a simple description
5697,this is a simple description
12798,this is a simple description
14171,this is a simple description
6756,this is a simple description
12340,this is a simple description
9437,this is a simple description
10810,this is a simple description
5352,this is a simple description
13610,this is a simple description
166,this is a simple description
12021,this is a simple description
5932,this is a simple description
12577,this is a simple description
6755,this is a simple description
11136,this is a simple description
2718,this is a simple description
11095,this is a simple description
5851,this is a simple description
5596,this is a simple description
11731,this is a simple description
5399,this is a simple description
7940,this is a simple description
4180,this is a simple description
13745,this is a simple description
13911,this is a simple description
9977,this is a simple description
2522,this is a simple description
4083,this is a simple description
5477,this is a simple description
9075,this is a simple description
10392,this is a simple description
3142,this is a simple description
10388,this is a simple description
679,this is a simple description
2517,this is a simple description
8354,this is a simple description
5668,this is a simple description
7280,this is a simple description
10195,this is a simple description
13654,this is a simple description
12158,this is a simple description
8032,this is a simple description
12310,this is a simple description
4742,this is a simple description
2747,this is a simple description
12925,this is a simple description
8360,this is a simple description
5141,this is a simple description
1592,this is a simple description
12046,this is a simple description
827,this is a simple description
5729,this is a simple description
10639,this is a simple description
4568,this is a simple description
4873,this is a simple description
13278,this is a simple description
10083,this is a simple description
4292,this is a simple description
7878,this is a simple description
14205,this is a simple description
4854,this is a simple description
11055,this is a simple description
3331,this is a simple description
348,this is a simple description
633,this is a simple description
3440,this is a simple description
534,this is a simple description
2078,this is a simple description
12761,this is a simple description
12098,this is a simple description
12981,this is a simple description
14436,this is a simple description
4957,this is a simple description
6123,this is a simple description
4952,this is a simple description
9768,this is a simple description
2662,this is a simple description
8610,this is a simple description
2312,this is a simple description
1840,this is a simple description
4222,this is a simple description
9511,this is a simple description
13777,this is a simple description
13619,this is a simple description
2055,this is a simple description
8801,this is a simple description
14283,this is a simple description
7318,this is a simple description
565,this is a simple description
9022,this is a simple description
14565,this is a simple description
6116,this is a simple description
5937,this is a simple description
10439,this is a simple description
4991,this is a simple description
6512,this is a simple description
11652,this is a simple description
7075,this is a simple description
8966,this is a simple description
1538,this is a simple description
8853,this is a simple description
119,this is a simple description
10549,this is a simple description
11643,this is a simple description
1179,this is a simple description
6648,this is a simple description
9816,this is a simple description
10586,this is a simple description
9220,this is a simple description
9709,this is a simple description
8105,this is a simple description
12238,this is a simple description
1029,this is a simple description
3780,this is a simple description
10142,this is a simple description
2571,this is a simple description
8009,this is a simple description
11126,this is a simple description
12308,this is a simple description
7811,this is a simple description
10785,this is a simple description
3082,this is a simple description
9314,this is a simple description
11463,this is a simple description
3973,this is a simple description
7828,this is a simple description
9843,this is a simple description
865,this is a simple description
10076,this is a simple description
12032,this is a simple description
12393,this is a simple description
7549,this is a simple description
14336,this is a simple description
5471,this is a simple description
12567,this is a simple description
476,this is a simple description
4668,this is a simple description
11630,this is a simple description
6121,this is a simple description
4424,this is a simple description
5152,this is a simple description
7411,this is a simple description
11985,this is a simple description
11215,this is a simple description
14252,this is a simple description
13157,this is a simple description
1675,this is a simple description
9996,this is a simple description
3881,this is a simple description
14318,this is a simple description
4322,this is a simple description
2070,this is a simple description
8998,this is a simple description
815,this is a simple description
9283,this is a simple description
11991,this is a simple description
5981,this is a simple description
208,this is a simple description
13316,this is a simple description
6814,this is a simple description
8943,this is a simple description
8152,this is a simple description
10189,this is a simple description
13352,this is a simple description
13929,this is a simple description
8603,this is a simple description
4164,this is a simple description
9096,this is a simple description
12515,this is a simple description
5583,this is a simple description
3437,this is a simple description
14395,this is a simple description
10039,this is a simple description
13757,this is a simple description
4988,this is a simple description
5636,this is a simple description
1008,this is a simple description
8620,this is a simple description
11935,this is a simple description
6089,this is a simple description
4157,this is a simple description
3013,this is a simple description
1014,this is a simple description
5229,this is a simple description
13373,this is a simple description
10421,this is a simple description
9941,this is a simple description
13451,this is a simple description
11127,this is a simple description
11534,this is a simple description
2103,this is a simple description
11892,this is a simple description
6263,this is a simple description
11307,this is a simple description
6426,this is a simple description
3278,this is a simple description
207,this is a simple description
2009,this is a simple description
12437,this is a simple description
4881,this is a simple description
1281,this is a simple description
8266,this is a simple description
5638,this is a simple description
7893,this is a simple description
2733,this is a simple description
1520,this is a simple description
467,this is a simple description
4293,this is a simple description
8378,this is a simple description
1313,this is a simple description
8493,this is a simple description
8861,this is a simple description
5419,this is a simple description
324,this is a simple description
1214,this is a simple description
7598,this is a simple description
13949,this is a simple description
2049,this is a simple description
5139,this is a simple description
7191,this is a simple description
11458,this is a simple description
14087,this is a simple description
10161,this is a simple description
266,this is a simple description
5537,this is a simple description
3677,this is a simple description
5407,this is a simple description
8877,this is a simple description
3997,this is a simple description
14347,this is a simple description
10443,this is a simple description
4154,this is a simple description
8971,this is a simple description
6058,this is a simple description
10616,this is a simple description
4473,this is a simple description
2870,this is a simple description
14093,this is a simple description
1003,this is a simple description
11825,this is a simple description
14214,this is a simple description
3190,this is a simple description
12160,this is a simple description
2388,this is a simple description
10547,this is a simple description
8740,this is a simple description
8708,this is a simple description
14420,this is a simple description
1772,this is a simple description
9291,this is a simple description
10827,this is a simple description
14613,this is a simple description
5813,this is a simple description
12459,this is a simple description
5425,this is a simple description
1976,this is a simple description
2486,this is a simple description
6852,this is a simple description
3476,this is a simple description
10445,this is a simple description
1624,this is a simple description
1347,this is a simple description
2754,this is a simple description
4264,this is a simple description
889,this is a simple description
2168,this is a simple description
10843,this is a simple description
10270,this is a simple description
5818,this is a simple description
13586,this is a simple description
1330,this is a simple description
3423,this is a simple description
6853,this is a simple description
6759,this is a simple description
8775,this is a simple description
10909,this is a simple description
14046,this is a simple description
3104,this is a simple description
8835,this is a simple description
10739,this is a simple description
10576,this is a simple description
9703,this is a simple description
6724,this is a simple description
9238,this is a simple description
13855,this is a simple description
14557,this is a simple description
13736,this is a simple description
7679,this is a simple description
3765,this is a simple description
5519,this is a simple description
14387,this is a simple description
9485,this is a simple description
6101,this is a simple description
12365,this is a simple description
8363,this is a simple description
9084,this is a simple description
12385,this is a simple description
10828,this is a simple description
104,this is a simple description
4679,this is a simple description
4499,this is a simple description
9233,this is a simple description
7933,this is a simple description
4336,this is a simple description
2245,this is a simple description
12587,this is a simple description
10617,this is a simple description
12400,this is a simple description
11594,this is a simple description
14389,this is a simple description
5550,this is a simple description
2122,this is a simple description
5266,this is a simple description
9402,this is a simple description
8707,this is a simple description
1781,this is a simple description
344,this is a simple description
11806,this is a simple description
9841,this is a simple description
4338,this is a simple description
12675,this is a simple description
12679,this is a simple description
2471,this is a simple description
4602,this is a simple description
8084,this is a simple description
11682,this is a simple description
3430,this is a simple description
12735,this is a simple description
6806,this is a simple description
7298,this is a simple description
6245,this is a simple description
687,this is a simple description
9273,this is a simple description
2404,this is a simple description
3886,this is a simple description
4540,this is a simple description
9903,this is a simple description
7384,this is a simple description
6213,this is a simple description
11181,this is a simple description
12691,this is a simple description
1664,this is a simple description
5698,this is a simple description
11210,this is a simple description
14123,this is a simple description
327,this is a simple description
6686,this is a simple description
10110,this is a simple description
7503,this is a simple description
9714,this is a simple description
8505,this is a simple description
11805,this is a simple description
4865,this is a simple description
13164,this is a simple description
5712,this is a simple description
3062,this is a simple description
10956,this is a simple description
9519,this is a simple description
14361,this is a simple description
7540,this is a simple description
11972,this is a simple description
8518,this is a simple description
9566,this is a simple description
7405,this is a simple description
12277,this is a simple description
13747,this is a simple description
6068,this is a simple description
12753,this is a simple description
3613,this is a simple description
6699,this is a simple description
1691,this is a simple description
600,this is a simple description
4904,this is a simple description
13768,this is a simple description
7291,this is a simple description
3268,this is a simple description
1359,this is a simple description
8170,this is a simple description
3108,this is a simple description
5156,this is a simple description
14444,this is a simple description
780,this is a simple description
153,this is a simple description
954,this is a simple description
4037,this is a simple description
2651,this is a simple description
12856,this is a simple description
13000,this is a simple description
6332,this is a simple description
1209,this is a simple description
759,this is a simple description
3547,this is a simple description
13871,this is a simple description
4808,this is a simple description
9979,this is a simple description
2445,this is a simple description
10343,this is a simple description
6371,this is a simple description
1249,this is a simple description
6811,this is a simple description
7970,this is a simple description
2024,this is a simple description
1882,this is a simple description
14522,this is a simple description
4844,this is a simple description
12668,this is a simple description
1738,this is a simple description
9351,this is a simple description
11438,this is a simple description
5084,this is a simple description
12020,this is a simple description
11257,this is a simple description
4863,this is a simple description
5589,this is a simple description
6979,this is a simple description
2597,this is a simple description
14541,this is a simple description
8692,this is a simple description
10658,this is a simple description
2304,this is a simple description
7890,this is a simple description
3934,this is a simple description
10895,this is a simple description
7418,this is a simple description
12716,this is a simple description
921,this is a simple description
8725,this is a simple description
4240,this is a simple description
9209,this is a simple description
3877,this is a simple description
6626,this is a simple description
7428,this is a simple description
14192,this is a simple description
8053,this is a simple description
253,this is a simple description
7232,this is a simple description
7041,this is a simple description
10409,this is a simple description
14139,this is a simple description
7567,this is a simple description
519,this is a simple description
7121,this is a simple description
11965,this is a simple description
8338,this is a simple description
5951,this is a simple description
909,this is a simple description
12555,this is a simple description
6501,this is a simple description
9710,this is a simple description
5180,this is a simple description
3486,this is a simple description
4332,this is a simple description
10164,this is a simple description
14310,this is a simple description
7689,this is a simple description
4235,this is a simple description
11406,this is a simple description
9881,this is a simple description
12927,this is a simple description
5312,this is a simple description
11897,this is a simple description
8592,this is a simple description
8474,this is a simple description
1801,this is a simple description
820,this is a simple description
11284,this is a simple description
4853,this is a simple description
4414,this is a simple description
1861,this is a simple description
12474,this is a simple description
7126,this is a simple description
3138,this is a simple description
5747,this is a simple description
1808,this is a simple description
10080,this is a simple description
4297,this is a simple description
13417,this is a simple description
1952,this is a simple description
13289,this is a simple description
13648,this is a simple description
1038,this is a simple description
580,this is a simple description
8461,this is a simple description
6235,this is a simple description
5759,this is a simple description
11536,this is a simple description
576,this is a simple description
10432,this is a simple description
3723,this is a simple description
14272,this is a simple description
12362,this is a simple description
7886,this is a simple description
5790,this is a simple description
2247,this is a simple description
8208,this is a simple description
9730,this is a simple description
5920,this is a simple description
10967,this is a simple description
3481,this is a simple description
6687,this is a simple description
12905,this is a simple description
9890,this is a simple description
13798,this is a simple description
1759,this is a simple description
6531,this is a simple description
3964,this is a simple description
11863,this is a simple description
4695,this is a simple description
8888,this is a simple description
6573,this is a simple description
5396,this is a simple description
6576,this is a simple description
13253,this is a simple description
12578,this is a simple description
2919,this is a simple description
11683,this is a simple description
6215,this is a simple description
10651,this is a simple description
8310,this is a simple description
2235,this is a simple description
13426,this is a simple description
9880,this is a simple description
13023,this is a simple description
11493,this is a simple description
5946,this is a simple description
7193,this is a simple description
9252,this is a simple description
11906,this is a simple description
9354,this is a simple description
7975,this is a simple description
5468,this is a simple description
6117,this is a simple description
1705,this is a simple description
13675,this is a simple description
7551,this is a simple description
14431,this is a simple description
8082,this is a simple description
3105,this is a simple description
862,this is a simple description
12399,this is a simple description
3703,this is a simple description
6630,this is a simple description
8936,this is a simple description
5250,this is a simple description
1343,this is a simple description
7666,this is a simple description
9561,this is a simple description
715,this is a simple description
3195,this is a simple description
3494,this is a simple description
5833,this is a simple description
7095,this is a simple description
12741,this is a simple description
5803,this is a simple description
4446,this is a simple description
3596,this is a simple description
4120,this is a simple description
847,this is a simple description
11289,this is a simple description
1349,this is a simple description
12069,this is a simple description
11767,this is a simple description
5741,this is a simple description
3818,this is a simple description
10784,this is a simple description
4504,this is a simple description
11841,this is a simple description
13602,this is a simple description
4615,this is a simple description
239,this is a simple description
4823,this is a simple description
3255,this is a simple description
88,this is a simple description
905,this is a simple description
8900,this is a simple description
5037,this is a simple description
6620,this is a simple description
10026,this is a simple description
13122,this is a simple description
8088,this is a simple description
7559,this is a simple description
4759,this is a simple description
10588,this is a simple description
7750,this is a simple description
3077,this is a simple description
2514,this is a simple description
2868,this is a simple description
6967,this is a simple description
11211,this is a simple description
3321,this is a simple description
4307,this is a simple description
11827,this is a simple description
4601,this is a simple description
6205,this is a simple description
10157,this is a simple description
4153,this is a simple description
4275,this is a simple description
2574,this is a simple description
4817,this is a simple description
14607,this is a simple description
13046,this is a simple description
601,this is a simple description
4870,this is a simple description
10114,this is a simple description
11397,this is a simple description
9517,this is a simple description
7676,this is a simple description
6640,this is a simple description
10600,this is a simple description
14305,this is a simple description
8312,this is a simple description
4411,this is a simple description
1082,this is a simple description
4458,this is a simple description
475,this is a simple description
6546,this is a simple description
556,this is a simple description
2178,this is a simple description
2272,this is a simple description
13652,this is a simple description
14588,this is a simple description
2399,this is a simple description
640,this is a simple description
4698,this is a simple description
8371,this is a simple description
313,this is a simple description
374,this is a simple description
4947,this is a simple description
2922,this is a simple description
7134,this is a simple description
5433,this is a simple description
2976,this is a simple description
5869,this is a simple description
1315,this is a simple description
10141,this is a simple description
2842,this is a simple description
7089,this is a simple description
7409,this is a simple description
3224,this is a simple description
1723,this is a simple description
2668,this is a simple description
14326,this is a simple description
4790,this is a simple description
14232,this is a simple description
613,this is a simple description
5891,this is a simple description
6163,this is a simple description
8489,this is a simple description
934,this is a simple description
7037,this is a simple description
10512,this is a simple description
551,this is a simple description
12397,this is a simple description
5481,this is a simple description
5142,this is a simple description
8141,this is a simple description
2755,this is a simple description
1437,this is a simple description
7630,this is a simple description
12250,this is a simple description
1768,this is a simple description
11558,this is a simple description
7607,this is a simple description
10529,this is a simple description
2542,this is a simple description
9986,this is a simple description
12302,this is a simple description
91,this is a simple description
12720,this is a simple description
12041,this is a simple description
8381,this is a simple description
4444,this is a simple description
8614,this is a simple description
11757,this is a simple description
12321,this is a simple description
13255,this is a simple description
629,this is a simple description
14472,this is a simple description
9332,this is a simple description
1999,this is a simple description
5787,this is a simple description
9459,this is a simple description
13471,this is a simple description
490,this is a simple description
14244,this is a simple description
8458,this is a simple description
9716,this is a simple description
14342,this is a simple description
9790,this is a simple description
13476,this is a simple description
5458,this is a simple description
4906,this is a simple description
3823,this is a simple description
5321,this is a simple description
11295,this is a simple description
8484,this is a simple description
10745,this is a simple description
7629,this is a simple description
11356,this is a simple description
5933,this is a simple description
13546,this is a simple description
7946,this is a simple description
8068,this is a simple description
14109,this is a simple description
8633,this is a simple description
2459,this is a simple description
10233,this is a simple description
9671,this is a simple description
13318,this is a simple description
304,this is a simple description
5728,this is a simple description
5617,this is a simple description
4319,this is a simple description
9359,this is a simple description
6186,this is a simple description
4736,this is a simple description
3721,this is a simple description
358,this is a simple description
11567,this is a simple description
8542,this is a simple description
3227,this is a simple description
9908,this is a simple description
6036,this is a simple description
10160,this is a simple description
1603,this is a simple description
13350,this is a simple description
14554,this is a simple description
67,this is a simple description
2917,this is a simple description
285,this is a simple description
6313,this is a simple description
63,this is a simple description
5009,this is a simple description
3039,this is a simple description
1425,this is a simple description
4399,this is a simple description
5628,this is a simple description
130,this is a simple description
13003,this is a simple description
7822,this is a simple description
4490,this is a simple description
13031,this is a simple description
1648,this is a simple description
13641,this is a simple description
552,this is a simple description
14279,this is a simple description
8216,this is a simple description
11477,this is a simple description
114,this is a simple description
5465,this is a simple description
4852,this is a simple description
6312,this is a simple description
13955,this is a simple description
3603,this is a simple description
11687,this is a simple description
10985,this is a simple description
4819,this is a simple description
4621,this is a simple description
10072,this is a simple description
1961,this is a simple description
2259,this is a simple description
13778,this is a simple description
6306,this is a simple description
5674,this is a simple description
3685,this is a simple description
4619,this is a simple description
7612,this is a simple description
11653,this is a simple description
486,this is a simple description
2876,this is a simple description
14448,this is a simple description
3483,this is a simple description
8556,this is a simple description
7355,this is a simple description
8383,this is a simple description
1428,this is a simple description
4545,this is a simple description
6836,this is a simple description
8904,this is a simple description
10286,this is a simple description
7496,this is a simple description
12240,this is a simple description
3942,this is a simple description
2315,this is a simple description
5531,this is a simple description
4043,this is a simple description
9373,this is a simple description
